,"Кол-во организаций предоставивших отчет, ед.","Общ. Объем израсходованных денежных средств по всем видам деятельности, тыс. руб",Расходы по финансированию долгосрочных инвестиций,Долгосрочные инвестиции по обычным видам деятельности,Расходы на финансирование затрат по капитальным вложениям,Расходы на создание и преобретение программного обеспечеия ЭВМ,Расходы на научно-исследовательские и опытные конструкторские работы,"Расходы обслуживающих производств и хозяйств, состоящих на балансе",Текущие расходы на содержание объектов санаторно-курортных учреждений,Текущие расходы на содержание садов и яслей,"Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей",Текущие расоды на содержание объектов физкультурно-оздоровительной деятельности,Текущие расходы на содержание объектов образования,Текущие расходы на содержание учреждений клубного типа,Расходы на предоставление услуг лечебных санаторно-курортных учреждений,Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений,"Расходы по предоставлению услуг пансионатов домов отдыха, детских лагерей",Расходы по предоставлению услуг физкультурно-оздоровительной деятельности,Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровительной деятельности,Расходы по предоставлению услуг образования,Оплата сторонних организаций по предоставлению услуг образования,Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа,Выплаты социального характера работникам,"Надбавки к пенсиям, единовременные пособия уходящим на пенсию",Благотворительные цели,"перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет",Представительские расходы,Оплата услуг банков и других финансово кредитных учреждений,Оплата услуг рекламных агенств и аудиторских организаций,Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследовательских и опытно-конструкторских работ
 СТРОИТЕЛЬСТВО,4156,11984337907,872104896,736452832,364663038,2181667,310553,6948207,31620,510,93994,13349,3814,6586,42470,13852,92764,21113,14459,3348,65497,44531,-,-,5738016,548383,3842660,39750206,550577,23653640
   строительство зданий,2052,5576401557,603378980,509799868,227073214,1140127,17906,1870585,16545,-,68888,1917,273,6586,14935,1401,78607,8618,8072,-,9991,9538,-,-,2200754,105333,1161009,4799516,168161,11038575
   строительство инженерных сооружений,254,1019453305,43396607,37542819,13198214,130949,13652,750917,-,-,1393,79,163,-,-,-,-,-,-,-,14857,7479,-,-,1111946,239616,237586,91067,78993,1064728
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,1645,11432968258,247113436,164265081,37022908,1030264,10954,610237,8442,-,123,-,-,-,1197,-,3260,-,-,160,5459,4732,-,-,676291,2879,336840,226777305,787182,8696790
"  торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",10301,80032611003,3720122911,1451966726,400193523,12986140,8751924,10736885,9319,-,171,11948,3521,-,1033666,764922,1208,1208,10088,2343,125989,113971,262,120,21268187,286000,62189307,5193890896,7308066,64881803
"   торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",2339,25118227539,775963456,580303414,255467340,15307186,74130,544106,16172,-,136,2094,-,-,61956,19365,1618,1618,10486,10486,13794,13230,-,-,7111425,64165,2045675,10311250,964358,98980697
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,4322,22155616538,1781901629,1541648294,1121695327,11990914,7009185,24277866,2869700,275041,1581365,981035,1286914,730685,4033914,1549358,2002450,624017,1350561,99958,467378,236978,1397883,90499,59644643,9892196,21063025,3039117739,901673,19906544
   деятельность сухопутного и трубопроводного транспорта,1736,12555441983,1090592100,962591980,735775429,6021654,6221236,18107222,2686344,252673,1417069,914758,1282129,726496,3125886,769119,1878341,581279,887271,91177,353677,137727,1397883,90499,41672051,5375798,18357516,2530878371,243482,6449621
       деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки,24,4450980475,95896385,95849685,77163972,144746,973448,1611121,-,-,-,-,-,-,56027,56027,-,-,-,-,28989,12059,-,-,16823841,212001,3767625,2438978841,43055,443505
